symbol,timeframe,pattern,bias,horizon,n,p_up,hit_rate,mean_fwd_ret_bps,fwd_range_ratio,pval_direction,pval_range,fdr_direction,fdr_range
V75,1m,shooting_star,-1,1,150909,0.5009,0.4991,0.0109,1.0013,0.4870339748813601,0.16600955934522932,0.7480394602252445,0.24901433901784398
V75,1m,shooting_star,-1,5,150909,0.49943,0.50057,0.0184,1.0014,0.6579376389082001,0.09127006414169352,0.819318569206438,0.1469225422768725
V75,1m,shooting_star,-1,15,150909,0.49998,0.50002,-0.0025,1.0005,0.9876770060680822,0.5470767592100231,0.997936404610361,0.6225356225493366
V75,1m,big_range,0,1,29046,0.5012,,0.037,1.0,0.685580414223159,0.9871532471301149,0.8226964970677908,0.9871532471301148
V75,1m,big_range,0,5,29046,0.50151,,-0.0207,0.9996,0.6097181592959079,0.8275593114308347,0.8048279702705985,0.8534205399130483
V75,1m,big_range,0,15,29046,0.49542,,-0.3134,0.9984,0.1199681729336381,0.38535036480541457,0.5278599609080076,0.4986887073952424
V75,1m,tiny_range,0,1,66186,0.49711,,-0.0735,0.9947,0.1386179307031336,7.570900749420146e-05,0.5717989641504261,0.0002172519345485781
V75,1m,tiny_range,0,5,66186,0.49622,,-0.0604,0.9958,0.052424620182485504,0.0008083842841151623,0.37611329971096835,0.0018397711293655415
V75,1m,tiny_range,0,15,66186,0.49834,,-0.3068,0.9984,0.39462638729410027,0.20501492305680036,0.7480394602252445,0.28789329620742177
V75,1m,engulf_bull,1,1,327538,0.50112,0.50112,0.0255,1.0012,0.19904726541408402,0.05994216377469002,0.6731358634497193,0.10411007392446162
V75,1m,engulf_bull,1,5,327538,0.49946,0.49946,-0.0303,1.0008,0.5350643776006452,0.17171815421265418,0.7480394602252445,0.2518532928452262
V75,1m,engulf_bull,1,15,327538,0.50111,0.50111,0.041,1.0003,0.20398056468173315,0.5571899209397098,0.6731358634497193,0.6232971996952685
V75,1m,engulf_bear,-1,1,328595,0.49997,0.50003,0.0156,0.999,0.9749498335673861,0.10503851536382212,0.997936404610361,0.1612219073026107
V75,1m,engulf_bear,-1,5,328595,0.49938,0.50062,-0.018,0.9995,0.47878098897947563,0.40134016394333016,0.7480394602252445,0.5093932850049959
V75,1m,engulf_bear,-1,15,328595,0.49945,0.50055,-0.0074,1.0002,0.5322803497760579,0.7742976235721338,0.7480394602252445,0.8242523089638845
V75,1m,harami_bull,1,1,328800,0.50146,0.50146,0.0146,0.9993,0.09443580344368119,0.2792548224763122,0.5138047790152971,0.37613914864156345
V75,1m,harami_bull,1,5,328800,0.49951,0.49951,0.0026,0.9986,0.5732334514216888,0.017712221088917894,0.7721103631394176,0.03438254681966415
V75,1m,harami_bull,1,15,328800,0.49859,0.49859,-0.0965,1.0001,0.10671091298243587,0.8073161452034373,0.5138047790152971,0.8457597711655057
V75,1m,harami_bear,-1,1,327743,0.49917,0.50083,-0.0253,1.0006,0.3455527981221251,0.3408642831926769,0.7480394602252445,0.4499408538143335
V75,1m,harami_bear,-1,5,327743,0.49877,0.50123,-0.0554,1.0003,0.16124337396840574,0.6240921965600463,0.591225704550821,0.686501416216051
V75,1m,harami_bear,-1,15,327743,0.49923,0.50077,-0.0555,1.0008,0.37866047885480375,0.17985026039547541,0.7480394602252445,0.25804602578481256
V75,1m,inside_bar,0,1,278498,0.49913,,-0.0301,1.0004,0.3600644587303867,0.5322937298839198,0.7480394602252445,0.6225356225493366
V75,1m,inside_bar,0,5,278498,0.49847,,-0.051,1.001,0.10601641613336697,0.10443818206794832,0.5138047790152971,0.1612219073026107
V75,1m,inside_bar,0,15,278498,0.49985,,-0.054,1.0007,0.8750260583304427,0.2664912610696981,0.96842654831196,0.3664254839708349
V75,1m,outside_bar,0,1,250389,0.50015,,0.0038,1.0006,0.882433572031364,0.4266914857127134,0.96842654831196,0.5313516614535676
V75,1m,outside_bar,0,5,250389,0.4984,,-0.0813,1.0005,0.10898889251839636,0.47497274232412356,0.5138047790152971,0.5805222406183732
V75,1m,outside_bar,0,15,250389,0.49965,,-0.0325,1.0012,0.725043489332313,0.07679829335864405,0.8545155409987976,0.1267171840417627
V75,1m,three_white_soldiers,1,1,329416,0.50092,0.50092,0.0075,1.0026,0.2934339131606034,6.239203502168982e-05,0.7480394602252445,0.00019608925292531083
V75,1m,three_white_soldiers,1,5,329416,0.50053,0.50053,0.0601,1.0025,0.5431415723838312,1.682633718564109e-05,0.7480394602252445,6.53257796619007e-05
V75,1m,three_white_soldiers,1,15,329416,0.49897,0.49897,-0.0838,1.0025,0.23956874607808248,1.0331440726900025e-05,0.7187062382342474,4.545833919836011e-05
V75,1m,three_black_crows,-1,1,329768,0.49826,0.50174,-0.0404,0.9974,0.04540777674994838,5.193686488011584e-05,0.37611329971096835,0.00018041226747829713
V75,1m,three_black_crows,-1,5,329768,0.49718,0.50282,-0.1023,0.998,0.0012068783637846918,0.0007944820647372015,0.03982698600489483,0.0018397711293655415
V75,1m,three_black_crows,-1,15,329768,0.49928,0.50072,-0.1236,0.9961,0.4121054916138652,7.415457560647215e-12,0.7480394602252445,6.117752487533953e-11
V75,1m,run_up_3,1,1,329416,0.50092,0.50092,0.0075,1.0026,0.2934339131606034,6.239203502168982e-05,0.7480394602252445,0.00019608925292531083
V75,1m,run_up_3,1,5,329416,0.50053,0.50053,0.0601,1.0025,0.5431415723838312,1.682633718564109e-05,0.7480394602252445,6.53257796619007e-05
V75,1m,run_up_3,1,15,329416,0.49897,0.49897,-0.0838,1.0025,0.23956874607808248,1.0331440726900025e-05,0.7187062382342474,4.545833919836011e-05
V75,1m,run_dn_3,-1,1,329768,0.49826,0.50174,-0.0404,0.9974,0.04540777674994838,5.193686488011584e-05,0.37611329971096835,0.00018041226747829713
V75,1m,run_dn_3,-1,5,329768,0.49718,0.50282,-0.1023,0.998,0.0012068783637846918,0.0007944820647372015,0.03982698600489483,0.0018397711293655415
V75,1m,run_dn_3,-1,15,329768,0.49928,0.50072,-0.1236,0.9961,0.4121054916138652,7.415457560647215e-12,0.7480394602252445,6.117752487533953e-11
V75,1m,run_up_5,1,1,82553,0.5013,0.5013,0.0382,1.0023,0.45638487881158885,0.06357780481914725,0.7480394602252445,0.10759320815547997
V75,1m,run_up_5,1,5,82553,0.50117,0.50117,0.0962,1.004,0.5039783560960002,0.00048113242601644434,0.7480394602252445,0.0012213361583494355
V75,1m,run_up_5,1,15,82553,0.49825,0.49825,-0.1141,1.0031,0.31616715488486447,0.004777394755657921,0.7480394602252445,0.01017122754430396
V75,1m,run_dn_5,-1,1,83192,0.49588,0.50412,-0.0874,0.9957,0.017552020038088048,0.00036263241741480166,0.2896083306284528,0.0009573495819750764
V75,1m,run_dn_5,-1,5,83192,0.49669,0.50331,-0.165,0.9964,0.05698686359257096,0.0013327900708042606,0.37611329971096835,0.002932138155769373
V75,1m,run_dn_5,-1,15,83192,0.49894,0.50106,-0.1709,0.994,0.5440286983456324,3.232275531204885e-08,0.7480394602252445,2.133301850595224e-07
V75,1m,breakout_up_20,1,1,208217,0.50088,0.50088,0.0115,1.0056,0.4225010816396959,1.5627779772287563e-12,0.7480394602252445,1.719055774951632e-11
V75,1m,breakout_up_20,1,5,208217,0.49953,0.49953,0.0729,1.0052,0.6707263946543469,9.180853749553273e-13,0.8197767045775352,1.320248561954454e-11
V75,1m,breakout_up_20,1,15,208217,0.50097,0.50097,0.2094,1.0051,0.37832658909141903,1.00018830451095e-12,0.7480394602252445,1.320248561954454e-11
V75,1m,breakout_dn_20,-1,1,209325,0.49949,0.50051,0.0047,0.993,0.643101271725826,3.6299607016540683e-19,0.819318569206438,1.056806570850215e-17
V75,1m,breakout_dn_20,-1,5,209325,0.49763,0.50237,-0.096,0.9936,0.03014255321665308,4.803666231137341e-19,0.37611329971096835,1.056806570850215e-17
V75,1m,breakout_dn_20,-1,15,209325,0.49893,0.50107,-0.1181,0.9936,0.32964970006257355,6.346997076267349e-20,0.7480394602252445,4.18901807033645e-18
V75,5m,doji,0,1,48885,0.49641,,-0.1523,1.0023,0.1134211033428783,0.13699838262442532,0.7238072551582385,0.2511637014781131
V75,5m,doji,0,5,48885,0.50159,,0.1859,1.0032,0.48610430237318025,0.030514186084759715,0.9594038476171318,0.06713120938647137
V75,5m,doji,0,15,48885,0.49921,,0.149,1.0038,0.7310447689865867,0.009083760451889729,0.9594038476171318,0.022204747771286004
V75,5m,spinning_top,0,1,76281,0.49965,,0.0107,1.0014,0.8506603884750615,0.248857279916693,0.9679928558509322,0.36703285267419744
V75,5m,spinning_top,0,5,76281,0.50134,,0.1652,1.0024,0.46013705323783227,0.04923803132759057,0.9594038476171318,0.10155343961315555
V75,5m,spinning_top,0,15,76281,0.4993,,0.0896,1.0019,0.7011317309856048,0.10577221381033033,0.9594038476171318,0.19945617461376577
V75,5m,marubozu_bull,1,1,17275,0.49696,0.49696,-0.0137,1.0014,0.4287876972290456,0.5694523779579366,0.9594038476171318,0.6711403025932824
V75,5m,marubozu_bull,1,5,17275,0.50136,0.50136,0.2851,0.9969,0.7263514464510162,0.19027826356891575,0.9594038476171318,0.316361372790999
V75,5m,marubozu_bull,1,15,17275,0.49407,0.49407,-1.1591,0.9983,0.1206345425263731,0.478392730537025,0.7238072551582385,0.5847022262119195
V75,5m,marubozu_bear,-1,1,17295,0.49997,0.50003,0.0895,0.9969,1.0,0.20983072764263802,1.0,0.3297340005812883
V75,5m,marubozu_bear,-1,5,17295,0.50107,0.49893,0.0496,0.9931,0.7842834579373739,0.003532639956171845,0.9594038476171318,0.008967470657974683
V75,5m,marubozu_bear,-1,15,17295,0.50101,0.49899,0.2189,0.9904,0.7959952646629503,3.52649315158088e-05,0.9594038476171318,0.00010119502087145133
V75,5m,hammer,1,1,25791,0.49164,0.49164,-0.3646,1.0008,0.007415536719987818,0.6903805929074904,0.163141807839732,0.7594186521982395
V75,5m,hammer,1,5,25791,0.49913,0.49913,-0.2925,1.0024,0.7841007543629385,0.21902194591908045,0.9594038476171318,0.33617321931765837
V75,5m,hammer,1,15,25791,0.498,0.498,-0.6051,1.0012,0.5253411366797964,0.536346956051404,0.9594038476171318,0.6436163472616848
V75,5m,shooting_star,-1,1,25756,0.49674,0.50326,-0.0884,1.0038,0.29806839834801424,0.060776708185371835,0.9594038476171318,0.1179783158892512
V75,5m,shooting_star,-1,5,25756,0.50089,0.49911,0.0612,1.0041,0.7791736080287543,0.03855268642742447,0.9594038476171318,0.08207991303903273
V75,5m,shooting_star,-1,15,25756,0.49557,0.50443,-0.7518,1.0049,0.157229383359916,0.01261979788737008,0.7982414847503427,0.0297466664488009
V75,5m,big_range,0,1,3930,0.50076,,0.064,1.0001,0.9364311428755744,0.9920576805098246,0.980873398274724,0.9920576805098247
V75,5m,big_range,0,5,3930,0.49389,,-1.2355,1.0026,0.45342497118619224,0.5970670475844243,0.9594038476171318,0.6913407919398598
V75,5m,big_range,0,15,3930,0.49517,,-0.5742,0.9961,0.555056354236536,0.42639074723207454,0.9594038476171318,0.5476863125608833
V75,5m,tiny_range,0,1,6250,0.4952,,-0.174,0.991,0.4554903684236912,0.029005670452245506,0.9594038476171318,0.06601290516717943
V75,5m,tiny_range,0,5,6250,0.5056,,-0.3482,0.9966,0.38277980864647176,0.38746555920330294,0.9594038476171318,0.5114545381483598
V75,5m,tiny_range,0,15,6250,0.50128,,0.3179,0.9996,0.8495174039480018,0.9129626649255504,0.9679928558509322,0.9270082443859435
V75,5m,engulf_bull,1,1,65804,0.50112,0.50112,0.0977,1.0004,0.5666123574121669,0.7721319558224841,0.9594038476171318,0.8089001441949834
V75,5m,engulf_bull,1,5,65804,0.49859,0.49859,-0.1036,1.0014,0.47079709648305923,0.28372779720650965,0.9594038476171318,0.39842626841765183
V75,5m,engulf_bull,1,15,65804,0.49847,0.49847,-0.1811,1.0024,0.4333010447938928,0.0557895099107269,0.9594038476171318,0.1115790198214538
V75,5m,engulf_bear,-1,1,65611,0.49633,0.50367,-0.1062,0.9996,0.06093952052573736,0.7670697476677016,0.5027510443373332,0.8089001441949834
V75,5m,engulf_bear,-1,5,65611,0.49554,0.50446,-0.3422,0.999,0.022610183445101316,0.4315104280782717,0.2487120178961145,0.5476863125608833
V75,5m,engulf_bear,-1,15,65611,0.49591,0.50409,-0.4913,0.9986,0.036388275817086216,0.27050544696713047,0.3430894577039557,0.38811651086588284
V75,5m,harami_bull,1,1,65727,0.49888,0.49888,0.0023,0.9985,0.5690285693433189,0.2502496722778619,0.9594038476171318,0.36703285267419744
V75,5m,harami_bull,1,5,65727,0.49937,0.49937,-0.118,1.0004,0.7490847793470549,0.7658475435539515,0.9594038476171318,0.8089001441949834
V75,5m,harami_bull,1,15,65727,0.49815,0.49815,-0.0649,0.9982,0.3452014085267949,0.15339430430356862,0.9594038476171318,0.2736222725415008
V75,5m,harami_bear,-1,1,65919,0.50071,0.49929,-0.0444,1.0017,0.7200970650515375,0.1917341653278782,0.9594038476171318,0.316361372790999
V75,5m,harami_bear,-1,5,65919,0.50016,0.49984,0.0496,1.0016,0.9379094989266986,0.1982014755560636,0.980873398274724,0.3190560338219561
V75,5m,harami_bear,-1,15,65919,0.49942,0.50058,-0.0078,1.0018,0.7672217141565286,0.15794790647536297,0.9594038476171318,0.2743305744045778
V75,5m,inside_bar,0,1,53172,0.49774,,-0.1138,0.9996,0.29998324289129435,0.7866751648351697,0.9594038476171318,0.8112587637362688
V75,5m,inside_bar,0,5,53172,0.49842,,-0.3949,1.0012,0.4689264489063774,0.3794824985960271,0.9594038476171318,0.5111396919864856
V75,5m,inside_bar,0,15,53172,0.49803,,-0.5649,0.9994,0.36474099113612585,0.6535894236916674,0.9594038476171318,0.7311339315872889
V75,5m,outside_bar,0,1,52223,0.50014,,0.1202,1.0014,0.9511499619633687,0.34645298347077486,0.980873398274724,0.4763728522723154
V75,5m,outside_bar,0,5,52223,0.4998,,-0.0403,1.0007,0.9302596157887164,0.6235032516219283,0.980873398274724,0.7095037001215047
V75,5m,outside_bar,0,15,52223,0.49997,,0.0342,1.0011,0.9930171468034592,0.4442167522201268,1.0,0.5531755782363843
V75,5m,three_white_soldiers,1,1,65067,0.49761,0.49761,0.026,1.0069,0.22425375160608138,2.9340882203001254e-07,0.8706322121177277,1.0192095923147805e-06
V75,5m,three_white_soldiers,1,5,65067,0.50047,0.50047,0.0923,1.0072,0.8140396282812027,3.0300307744081256e-08,0.9594038476171318,1.4284430793638307e-07
V75,5m,three_white_soldiers,1,15,65067,0.49932,0.49932,0.1666,1.0064,0.7301047051270632,4.3618383809989507e-07,0.9594038476171318,1.3708634911710988e-06
V75,5m,three_black_crows,-1,1,65920,0.50074,0.49926,0.0018,0.9929,0.7055787144241337,5.4853622250514045e-08,0.9594038476171318,2.2627119178337043e-07
V75,5m,three_black_crows,-1,5,65920,0.50146,0.49854,0.0997,0.9919,0.45692664920708687,1.134981484424341e-10,0.9594038476171318,1.0701253996000928e-09
V75,5m,three_black_crows,-1,15,65920,0.49387,0.50613,-0.7093,0.9923,0.001671207291450578,9.314761006222133e-10,0.055149840617869074,6.83082473789623e-09
V75,5m,run_up_3,1,1,65067,0.49761,0.49761,0.026,1.0069,0.22425375160608138,2.9340882203001254e-07,0.8706322121177277,1.0192095923147805e-06
V75,5m,run_up_3,1,5,65067,0.50047,0.50047,0.0923,1.0072,0.8140396282812027,3.0300307744081256e-08,0.9594038476171318,1.4284430793638307e-07
V75,5m,run_up_3,1,15,65067,0.49932,0.49932,0.1666,1.0064,0.7301047051270632,4.3618383809989507e-07,0.9594038476171318,1.3708634911710988e-06
V75,5m,run_dn_3,-1,1,65920,0.50074,0.49926,0.0018,0.9929,0.7055787144241337,5.4853622250514045e-08,0.9594038476171318,2.2627119178337043e-07
V75,5m,run_dn_3,-1,5,65920,0.50146,0.49854,0.0997,0.9919,0.45692664920708687,1.134981484424341e-10,0.9594038476171318,1.0701253996000928e-09
V75,5m,run_dn_3,-1,15,65920,0.49387,0.50613,-0.7093,0.9923,0.001671207291450578,9.314761006222133e-10,0.055149840617869074,6.83082473789623e-09
V75,5m,run_up_5,1,1,16070,0.50106,0.50106,0.117,1.0094,0.7946186264980339,0.0002856016736425403,0.9594038476171318,0.0007854046025169859
V75,5m,run_up_5,1,5,16070,0.49807,0.49807,-0.244,1.0145,0.6303786544836787,5.1820566888467784e-09,0.9594038476171318,3.420157414638874e-08
V75,5m,run_up_5,1,15,16070,0.50062,0.50062,0.6762,1.0077,0.8808593520231607,0.0016908739591983734,0.980873398274724,0.004463907252283706
V75,5m,run_dn_5,-1,1,16381,0.50937,0.49063,0.4687,0.9894,0.016807071995304377,2.1484320509445596e-05,0.22185335033801779,6.445296152833678e-05
V75,5m,run_dn_5,-1,5,16381,0.50638,0.49362,0.941,0.9862,0.1041279679383862,7.844579627339319e-09,0.7238072551582385,4.314518795036625e-08
V75,5m,run_dn_5,-1,15,16381,0.49948,0.50052,0.4185,0.9875,0.9005149847431634,1.5667055099895098e-07,0.980873398274724,6.082503744665155e-07
V75,5m,breakout_up_20,1,1,38980,0.50336,0.50336,0.13,1.0112,0.18617947448329833,3.7512022720603017e-11,0.867439198588032,4.951586999119598e-10
V75,5m,breakout_up_20,1,5,38980,0.50629,0.50629,0.6045,1.0095,0.01325624144405284,6.39981366466979e-09,0.21872798382687186,3.839888198801874e-08
V75,5m,breakout_up_20,1,15,38980,0.50208,0.50208,0.8942,1.0111,0.41480691957993815,8.202034415610108e-12,0.9594038476171318,1.353335678575668e-10
V75,5m,breakout_dn_20,-1,1,39399,0.50326,0.49674,0.1646,0.9881,0.1971452724063709,5.87428208083511e-13,0.867439198588032,1.2923420577837243e-11
V75,5m,breakout_dn_20,-1,5,39399,0.50364,0.49636,0.3998,0.9848,0.14962176631251622,9.376368833917782e-22,0.7982414847503427,3.0942017151928684e-20
V75,5m,breakout_dn_20,-1,15,39399,0.49862,0.50138,0.1439,0.984,0.5863711230139826,2.815508420534195e-24,0.9594038476171318,1.8582355575525687e-22
V75,1h,doji,0,1,4317,0.49386,,-0.6791,1.0016,0.42869664346146547,0.7362237805739915,0.8074055058299321,0.8297190962078116
V75,1h,doji,0,5,4317,0.49896,,-1.1429,0.9977,0.9030921885307931,0.6259112123179998,0.9771161384103663,0.7780506903845188
V75,1h,doji,0,15,4317,0.49108,,-4.1413,1.0013,0.24738987326749465,0.7809792933863202,0.725671864146928,0.8449939895655267
V75,1h,spinning_top,0,1,6888,0.49768,,-0.2749,0.9994,0.7087635483095799,0.8758367593185916,0.8662665590450421,0.9175432716670959
V75,1h,spinning_top,0,5,6888,0.49898,,-0.0813,0.9982,0.8755317082042243,0.6504076595495963,0.9630848790246468,0.7780506903845188
V75,1h,spinning_top,0,15,6888,0.49637,,-0.6951,0.997,0.5549227492105944,0.4394684775848306,0.8604506598182153,0.6731771966119032
V75,1h,marubozu_bull,1,1,941,0.48247,0.48247,-0.0514,1.0031,0.29686576260556147,0.7540497115729057,0.725671864146928,0.8297190962078116
V75,1h,marubozu_bull,1,5,941,0.48778,0.48778,1.8481,0.9955,0.47328243509539303,0.6601642221444401,0.8074055058299321,0.7780506903845188
V75,1h,marubozu_bull,1,15,941,0.49309,0.49309,-12.9625,0.9918,0.69567939795803,0.40357198601552247,0.8662665590450421,0.6658937769256121
V75,1h,marubozu_bear,-1,1,969,0.50155,0.49845,-2.0195,0.9778,0.9487761451164115,0.022750228327650602,0.9784253996512994,0.050050502320831323
V75,1h,marubozu_bear,-1,5,969,0.49329,0.50671,-4.7862,0.9764,0.6998912554281818,0.016572306606713917,0.8662665590450421,0.04206816292473533
V75,1h,marubozu_bear,-1,15,969,0.50155,0.49845,-4.9118,0.9881,0.9487761451164115,0.22325403011512523,0.9784253996512994,0.4333754702234784
V75,1h,hammer,1,1,1877,0.48215,0.48215,-1.3941,1.001,0.12763821665374933,0.8916297453295319,0.6709019059044588,0.9194931748710797
V75,1h,hammer,1,5,1877,0.48908,0.48908,-8.1216,1.0052,0.35587064751465713,0.46762228780698595,0.747836845015365,0.6731771966119032
V75,1h,hammer,1,15,1877,0.49867,0.49867,2.5528,1.0037,0.9264416152534404,0.6006867855325004,0.9784253996512994,0.7780506903845188
V75,1h,shooting_star,-1,1,2002,0.48352,0.51648,-2.6813,1.0033,0.1462834183098571,0.6386918084942346,0.6709019059044588,0.7780506903845188
V75,1h,shooting_star,-1,5,2002,0.47453,0.52547,-5.5375,1.0001,0.02396527957548702,0.9842768142665621,0.4438562770625539,0.9842768142665622
V75,1h,shooting_star,-1,15,2002,0.47502,0.52498,-9.0293,1.0061,0.02690038042803357,0.3913270212781555,0.4438562770625539,0.6622457283168784
V75,1h,big_range,0,1,243,0.54321,,7.1593,0.9907,0.19939282692738056,0.6253191010288364,0.6709019059044588,0.7780506903845188
V75,1h,big_range,0,5,243,0.50206,,-0.3208,1.01,1.0,0.5758826789018674,1.0,0.7756787103576173
V75,1h,big_range,0,15,243,0.55556,,24.4527,1.0064,0.09513291273899531,0.7542900874616468,0.6420569753573708,0.8297190962078116
V75,1h,tiny_range,0,1,383,0.48042,,-1.9465,0.96,0.4744298684826634,0.0066099991003138086,0.8074055058299321,0.017450397624828456
V75,1h,tiny_range,0,5,383,0.51175,,6.3344,0.9646,0.6827550729350178,0.017575220617412037,0.8662665590450421,0.04296165039811831
V75,1h,tiny_range,0,15,383,0.48303,,-24.1349,0.9682,0.5398184228283408,0.030080644793679754,0.8604506598182153,0.062041329886964494
V75,1h,engulf_bull,1,1,5476,0.49379,0.49379,-0.4496,1.0032,0.3652519701603133,0.46385179535705084,0.747836845015365,0.6731771966119032
V75,1h,engulf_bull,1,5,5476,0.49251,0.49251,-1.3677,1.0047,0.27369283977304687,0.27751043211226484,0.725671864146928,0.5233053862688423
V75,1h,engulf_bull,1,15,5476,0.49215,0.49215,-2.8774,1.0041,0.2506985867228947,0.34384378160792545,0.725671864146928,0.6133429617871102
V75,1h,engulf_bear,-1,1,5454,0.48772,0.51228,-1.5707,0.9898,0.07170598539791348,0.021496967227247706,0.6420569753573708,0.04892413231028788
V75,1h,engulf_bear,-1,5,5454,0.49102,0.50898,-1.0441,0.9968,0.1890258246212257,0.46045564319731147,0.6709019059044588,0.6731771966119032
V75,1h,engulf_bear,-1,15,5454,0.48698,0.51302,-4.4401,1.0034,0.05622060864509622,0.43885533712207314,0.6184266950960584,0.6731771966119032
V75,1h,harami_bull,1,1,5416,0.49723,0.49723,-0.1455,0.9899,0.6935429915117541,0.020250252400771832,0.8662665590450421,0.04773273780181932
V75,1h,harami_bull,1,5,5416,0.48966,0.48966,-1.4597,0.9969,0.1314738192774746,0.47417057953809283,0.6709019059044588,0.6731771966119032
V75,1h,harami_bull,1,15,5416,0.48357,0.48357,-4.4765,0.996,0.0161600101517044,0.3567086802277577,0.4438562770625539,0.6195466551324212
V75,1h,harami_bear,-1,1,5437,0.49715,0.50285,-0.0139,1.0101,0.6841169833376615,0.024923836712162615,0.8662665590450421,0.053063652354926855
V75,1h,harami_bear,-1,5,5437,0.49255,0.50745,-2.5689,1.0003,0.2779418382337228,0.9377628346715524,0.725671864146928,0.952189955204961
V75,1h,harami_bear,-1,15,5437,0.4885,0.5115,-6.1226,0.9954,0.0926227733790843,0.29100320829321985,0.6420569753573708,0.533505881870903
V75,1h,inside_bar,0,1,4401,0.49784,,0.3412,0.993,0.7861413740253551,0.13971666429111848,0.9265237622441685,0.27943332858223696
V75,1h,inside_bar,0,5,4401,0.48739,,-2.4983,0.9967,0.09728135990263194,0.479383761223628,0.6420569753573708,0.6731771966119032
V75,1h,inside_bar,0,15,4401,0.49284,,-1.1788,0.9978,0.3500064774883296,0.6458401934322129,0.747836845015365,0.7780506903845188
V75,1h,outside_bar,0,1,4419,0.50192,,-0.327,0.997,0.8097987334226148,0.5422336993773846,0.9376616913314486,0.7455713366439038
V75,1h,outside_bar,0,5,4419,0.49581,,-2.2891,0.998,0.5881318530951879,0.6763938972073936,0.8662665590450421,0.783192933608561
V75,1h,outside_bar,0,15,4419,0.48518,,-6.3893,1.0009,0.050499309363040576,0.84442469091076,0.6184266950960584,0.8989037032275832
V75,1h,three_white_soldiers,1,1,5344,0.50281,0.50281,0.4939,1.0208,0.6915908126034517,4.361065170687023e-06,0.8662665590450421,1.798939382908397e-05
V75,1h,three_white_soldiers,1,5,5344,0.49382,0.49382,-1.4972,1.0209,0.3739184225076825,2.7429595930350173e-06,0.747836845015365,1.392579485694701e-05
V75,1h,three_white_soldiers,1,15,5344,0.50879,0.50879,0.0797,1.0221,0.20330360784983598,3.707333674274521e-07,0.6709019059044588,3.05855028127648e-06
V75,1h,three_black_crows,-1,1,5657,0.49532,0.50468,0.2782,0.9827,0.48933667019995886,6.335321106593651e-05,0.8074055058299321,0.00020906559651759048
V75,1h,three_black_crows,-1,5,5657,0.49655,0.50345,1.5032,0.9858,0.6134000709265859,0.000875409881213878,0.8662665590450421,0.0025120457460919977
V75,1h,three_black_crows,-1,15,5657,0.49072,0.50928,-0.5207,0.9801,0.16673917498054622,2.104814433000508e-06,0.6709019059044588,1.3652272839711752e-05
V75,1h,run_up_3,1,1,5344,0.50281,0.50281,0.4939,1.0208,0.6915908126034517,4.361065170687023e-06,0.8662665590450421,1.798939382908397e-05
V75,1h,run_up_3,1,5,5344,0.49382,0.49382,-1.4972,1.0209,0.3739184225076825,2.7429595930350173e-06,0.747836845015365,1.392579485694701e-05
